paper_id,publication_year,citations_first_5yr,citations_second_5yr,ratio,mean_lag_years,title
W2551619725,2016,2,0,inf,0.5,"Corrigendum: Quantifying expert consensus against the existence of a secret, large-scale atmospheric spraying program (2016 <i>Environ. Res. Lett.</i> <b>11</b> 084011)"
W2011420619,2015,1,0,inf,3.0,Global carbon balance
W2910133204,2012,1,0,inf,1.0,A short-term in situ CO₂ enrichment experiment on Heron Island (GBR) ; A short-term in situ CO(2) enrichment experiment on Heron Island (GBR)
W4253906698,2013,1,0,inf,1.0,Climate response due to carbonaceous aerosols and aerosol-induced SST effects in NCAR community atmospheric model CAM3.5
W4255933271,2013,1,0,inf,2.0,Nitrogen deposition: how important is it for global terrestrial carbon uptake?
W2181724116,2014,0,0,inf,,"Sea Ice Radiative Forcing, Sea Ice Area, and Climate Sensitivity"
W2188164409,2013,0,0,inf,,Effect of Temperature on Photosynthesis and Growth in Marine Synechococcus spp. 1(C)(OPEN)
W2339708389,2011,0,0,inf,,Comment and Reply The need for mass balance and feedback in the geochemical carbon cycle
W2509183966,2015,0,0,inf,,Adapting to Rates of Climate Change: Natural and Human Dimensions II Posters
W2558584222,2014,0,0,inf,,Solar geoengineering to limit the rate of temperature change
W2610841387,2014,0,0,inf,,Methods for Attributing Land-Use Emissions to Products
W2909421516,2015,0,0,inf,,Committed CO2 emissions
W2992201110,2014,0,0,inf,,Temperature response to an emission of carbon dioxide today
W2992864081,2015,0,0,inf,,Deep Sea Memory of High Atmospheric CO2 Concentration
W2995114846,2013,0,0,inf,,Sustainable oceans in a 'civilized' world requires a sustainable human civilization. (Invited)
W2995891436,2014,0,0,inf,,Modeling of Solar Radiation Management: A comparison of simulations using reduced solar constant and stratospheric aerosols
W3017334659,2016,0,0,inf,,Managing Earth's Future: Global Self-Restraint for the Common Good or Domination by Incentive and Power?
W3020361267,2013,0,0,inf,,Potential for progress in carbon cycle modeling: models as tools and representations of reality (Invited)
W3086308459,2013,0,0,inf,,Natural Climate Variability and Future Climate Policy
W3106577824,2016,0,0,inf,,Evolving Patterns of Surface Heat Fluxes Influence Global Radiative Feedback Strength
W3162311389,2012,0,0,inf,,Climate response to changes in atmospheric carbon dioxide and solar irradiance on the time scale of days to weeks
W4244222748,2013,0,0,inf,,"Supplementary material to ""Nitrogen deposition: how important is it for global terrestrial carbon uptake?"""
W7156126153,2015,0,0,inf,,Geoengineering to Shade Earth
W2076938378,2012,9,1,9.0,2.8,Temperature change vs. cumulative radiative forcing as metrics for evaluating climate consequences of energy system choices
W2010698719,2011,7,1,7.0,4.7,Comment on “Atmospheric <i>P</i> <scp>co</scp> <sub>2</sub> Perturbations Associated with the Central Atlantic Magmatic Province”
W2289721959,2016,11,3,3.6667,3.267,Simulated long‐term climate response to idealized solar geoengineering
W2163571212,2012,75,28,2.6786,5.554,"Greenhouse gases, climate change and the transition from coal to low-carbon electricity"
W4250644476,2013,33,14,2.3571,3.735,Rethinking wedges
W1594164258,2015,41,18,2.2778,4.175,Six Month In Situ High-Resolution Carbonate Chemistry and Temperature Study on a Coral Reef Flat Reveals Asynchronous pH and Temperature Anomalies
W1804140002,2011,20,9,2.2222,8.554,Why is there a short-term increase in global precipitation in response to diminished CO<sub>2</sub>forcing?
W2090023600,2013,11,5,2.2,4.556,Climate response due to carbonaceous aerosols and aerosol-induced SST effects in NCAR community atmospheric model CAM3.5
W1965663041,2013,51,24,2.125,4.686,Risks to coral reefs from ocean carbonate chemistry changes in recent earth system model projections
W2516452788,2016,19,9,2.1111,4.071,"Quantifying expert consensus against the existence of a secret, large-scale atmospheric spraying program"
W2041362028,2011,29,17,1.7059,5.302,Can we test geoengineering?
W2316420616,2016,22,14,1.5714,4.139,Why must a solar forcing be larger than a CO <sub>2</sub> forcing to cause the same global mean surface temperature change?
W2341585776,2016,11,7,1.5714,3.611,Interannual stability of organic to inorganic carbon production on a coral atoll
W2027334164,2012,21,14,1.5,6.271,Attribution of atmospheric CO <sub>2</sub> and temperature increases to regions: importance of preindustrial land use change
W2094132477,2012,55,37,1.4865,6.389,Crop yields in a geoengineered climate
W2056736723,2014,26,19,1.3684,4.426,"Community calcification in Lizard Island, Great Barrier Reef: A 33 year perspective"
W2522765912,2016,57,44,1.2955,4.196,Dependence of global radiative feedbacks on evolving patterns of surface heat fluxes
W1964220360,2011,22,17,1.2941,5.938,Coupled climate–carbon simulations indicate minor global effects of wars and epidemics on atmospheric CO <sub>2</sub> between <scp>ad</scp> 800 and 1850
W2142213164,2014,39,31,1.2581,5.444,CH <sub>4</sub> and N <sub>2</sub> O emissions embodied in international trade of meat
W2068047583,2014,39,31,1.2581,5.278,Modeling of solar radiation management: a comparison of simulations using reduced solar constant and stratospheric sulphate aerosols
W1990486347,2012,67,54,1.2407,4.91,A short-term in situ CO2 enrichment experiment on Heron Island (GBR)
W2300549890,2016,37,30,1.2333,4.221,Nighttime dissolution in a temperate coastal ocean ecosystem increases under acidification
W2016607514,2014,40,33,1.2121,5.364,Solar geoengineering to limit the rate of temperature change
W2165473104,2012,51,43,1.186,5.79,Climate response to changes in atmospheric carbon dioxide and solar irradiance on the time scale of days to weeks
W2178610508,2015,71,60,1.1833,4.348,Combustion of available fossil fuel resources sufficient to eliminate the Antarctic Ice Sheet
W2172949346,2015,14,12,1.1667,5.069,Fast and slow climate responses to CO<sub>2</sub> and solar forcing: A linear multivariate regression model characterizing transient climate change
W2164573249,2012,29,27,1.0741,6.761,Ecosystem Impacts of Geoengineering: A Review for Developing a Science Plan
W1793424511,2012,15,15,1.0,7.302,Geoengineering: Whiter skies?
W2143872408,2013,14,14,1.0,6.692,Climate response to imposed solar radiation reductions in high latitudes
W2559815628,2016,3,3,1.0,5.75,Spatial Distribution of Generation of Lorenz’s Available Potential Energy in a Global Climate Model
W1995346451,2013,2,2,1.0,4.75,Prudence on solar climate engineering
W2045662683,2015,19,20,0.95,5.14,Atmospheric impacts of sea ice decline in CO2 induced global warming
W2126237691,2012,35,37,0.9459,5.476,Carbon turnover rates in the One Tree Island reef: A 40‐year perspective
W1993208092,2015,12,13,0.9231,5.3,Impacts of ocean albedo alteration on Arctic sea ice restoration and Northern Hemisphere climate
W1703230271,2011,16,19,0.8421,7.208,The frequency response of temperature and precipitation in a climate model
W2178889352,2015,43,52,0.8269,5.36,Long-term response of oceans to CO2 removal from the atmosphere
W1905430927,2013,119,144,0.8264,5.938,Climate model response from the Geoengineering Model Intercomparison Project (GeoMIP)
W2076148053,2013,33,40,0.825,6.969,Attributing the increase in atmospheric CO2 to emitters and absorbers
W2103002650,2012,42,52,0.8077,5.764,Management of trade-offs in geoengineering through optimal choice of non-uniform radiative forcing
W2098840095,2012,47,59,0.7966,7.275,Geophysical limits to global wind power
W2044269414,2011,133,183,0.7268,7.544,The supply chain of CO <sub>2</sub> emissions
W2155214415,2013,18,25,0.72,6.34,Nitrogen deposition: how important is it for global terrestrial carbon uptake?
W2291098356,2016,161,225,0.7156,5.144,Reversal of ocean acidification enhances net coral reef calcification
W2529760069,2016,5,7,0.7143,5.462,Adapting to rates versus amounts of climate change: a case of adaptation to sea-level rise
W2162096236,2012,5,7,0.7143,6.429,Avoiding mangrove destruction by avoiding carbon dioxide emissions
W1845614755,2015,54,78,0.6923,5.89,Climate benefits of natural gas as a bridge fuel and potential delay of near-zero energy systems
W2158006323,2015,39,57,0.6842,5.421,Coral reef metabolism and carbon chemistry dynamics of a coral reef flat
W2092072317,2013,38,57,0.6667,6.221,Projections of the pace of warming following an abrupt increase in atmospheric carbon dioxide concentration
W2100491050,2014,6,9,0.6667,5.294,Estimating the Contribution of Sea Ice Response to Climate Sensitivity in a Climate Model
W2029454019,2013,37,59,0.6271,7.5,Effect of Temperature on Photosynthesis and Growth in Marine Synechococcus spp.
W2100674544,2011,26,43,0.6047,8.009,Climate forcing and response to idealized changes in surface latent and sensible heat
W2020215002,2015,7,12,0.5833,6.185,Atmospheric consequences of disruption of the ocean thermocline
W2508189370,2016,8,14,0.5714,5.136,Greenhouse Gas Emissions Due to Meat Production in the Last Fifty Years
W2119534125,2013,37,65,0.5692,6.185,Strategic incentives for climate geoengineering coalitions to exclude broad participation
W2093693868,2014,50,100,0.5,7.498,Global and regional trends in greenhouse gas emissions from livestock
W2046376516,2011,41,84,0.4881,7.627,Dependence of climate forcing and response on the altitude of black carbon aerosols
W2166051013,2014,11,24,0.4583,6.867,Methods for attributing land-use emissions to products
W2110761353,2014,65,150,0.4333,6.379,Maximum warming occurs about one decade after a carbon dioxide emission
W1097101551,2015,27,80,0.3375,6.836,Impacts of global warming on residential heating and cooling degree-days in the United States
W2068342401,2014,10,31,0.3226,7.942,Natural climate variability and future climate policy
W2560626177,2016,0,2,0.0,5.5,ERL and the impact of small groups of authors
